	3	data/treex/000_orig/train//047#59:и
A	5	data/treex/000_orig/train//005#429:2003
A ЕД ЖЕН ВИН	3226	data/treex/000_orig/train//001#13:первую
A ЕД ЖЕН ДАТ	701	data/treex/000_orig/train//001#79:практической
A ЕД ЖЕН ИМ	4375	data/treex/000_orig/train//001#6:типичная
A ЕД ЖЕН ИМ МЕТА	1	data/treex/000_orig/train//005#155:Та
A ЕД ЖЕН ПР	1889	data/treex/000_orig/train//001#23:семейной
A ЕД ЖЕН РОД	4908	data/treex/000_orig/train//001#6:пушкинской
A ЕД ЖЕН РОД МЕТА	1	data/treex/000_orig/train//059#211:расовой
A ЕД ЖЕН РОД НЕСТАНД	1	data/treex/000_orig/train//024#454:всея
A ЕД ЖЕН ТВОР	1768	data/treex/000_orig/train//001#14:Аремзянской
A ЕД МУЖ ВИН НЕОД	2875	data/treex/000_orig/train//001#6:русский
A ЕД МУЖ ВИН ОД	246	data/treex/000_orig/train//001#36:военного
A ЕД МУЖ ДАТ	688	data/treex/000_orig/train//001#34:умершему
A ЕД МУЖ ИМ	5387	data/treex/000_orig/train//001#9:мой
A ЕД МУЖ ПР	2230	data/treex/000_orig/train//001#17:Московском
A ЕД МУЖ РОД	4684	data/treex/000_orig/train//001#7:своего
A ЕД МУЖ ТВОР	2117	data/treex/000_orig/train//001#6:всем
A ЕД СРЕД ВИН	2180	data/treex/000_orig/train//001#17:это
A ЕД СРЕД ДАТ	429	data/treex/000_orig/train//001#64:социальному
A ЕД СРЕД ИМ	2639	data/treex/000_orig/train//001#28:юношеское
A ЕД СРЕД ИМ НЕСТАНД	1	data/treex/000_orig/train//018#201:недавное
A ЕД СРЕД ПР	1206	data/treex/000_orig/train//001#24:Красном
A ЕД СРЕД РОД	2631	data/treex/000_orig/train//001#18:того
A ЕД СРЕД ТВОР	947	data/treex/000_orig/train//001#18:лучшим
A КР ЕД ЖЕН	737	data/treex/000_orig/train//001#62:невозможна
A КР ЕД МУЖ	973	data/treex/000_orig/train//001#18:богат
A КР ЕД МУЖ ДАТ	1	data/treex/000_orig/train//039#486:живу
A КР ЕД СРЕД	2253	data/treex/000_orig/train//001#9:грустно
A КР МН	1001	data/treex/000_orig/train//001#43:знакомы
A МН ВИН НЕОД	3612	data/treex/000_orig/train//001#12:стекольные
A МН ВИН ОД	364	data/treex/000_orig/train//001#54:всех
A МН ДАТ	1119	data/treex/000_orig/train//001#18:столичным
A МН ИМ	5812	data/treex/000_orig/train//001#4:РУССКИЕ
A МН ИМ МЕТА	2	data/treex/000_orig/train//006#182:животные
A МН ИМ НЕСТАНД	1	data/treex/000_orig/train//006#388:э-ле-гантные
A МН ПР	1802	data/treex/000_orig/train//001#44:этих
A МН РОД	7992	data/treex/000_orig/train//001#11:известных
A МН ТВОР	1919	data/treex/000_orig/train//001#27:основными
A МН ТВОР НЕПРАВ	1	data/treex/000_orig/train//061#71:по-смазанными
A ПРЕВ ЕД ЖЕН ВИН	7	data/treex/000_orig/train//012#283:древнейшую
A ПРЕВ ЕД ЖЕН ДАТ	1	data/treex/000_orig/train//064#266:ближайшей
A ПРЕВ ЕД ЖЕН ИМ	22	data/treex/000_orig/train//005#71:дичайшая
A ПРЕВ ЕД ЖЕН ПР	7	data/treex/000_orig/train//033#59:новейшей
A ПРЕВ ЕД ЖЕН РОД	12	data/treex/000_orig/train//003#207:древнейшей
A ПРЕВ ЕД ЖЕН ТВОР	13	data/treex/000_orig/train//005#76:характернейшей
A ПРЕВ ЕД МУЖ ВИН НЕОД	12	data/treex/000_orig/train//001#73:интереснейший
A ПРЕВ ЕД МУЖ ВИН ОД	3	data/treex/000_orig/train//009#115:хитроумнейшего
A ПРЕВ ЕД МУЖ ДАТ	1	data/treex/000_orig/train//069#259:мощнейшему
A ПРЕВ ЕД МУЖ ИМ	27	data/treex/000_orig/train//009#446:важнейший
A ПРЕВ ЕД МУЖ ПР	6	data/treex/000_orig/train//003#219:строжайшем
A ПРЕВ ЕД МУЖ РОД	12	data/treex/000_orig/train//001#476:тяжелейшего
A ПРЕВ ЕД МУЖ ТВОР	11	data/treex/000_orig/train//018#405:величайшим
A ПРЕВ ЕД СРЕД ВИН	8	data/treex/000_orig/train//009#89:счастливейшее
A ПРЕВ ЕД СРЕД ДАТ	2	data/treex/000_orig/train//011#173:сложнейшему
