	ar	bg-ud11	bn	ca	cs	da-ud11	de	de-ud11	el-ud11	en	en-ud11	es	es-ud11	et	eu-ud11	fa	fa-ud11	fi-ud11	fi-ud11ftb	fr-ud11	ga-ud11	grc	he-ud11	hi	hr-ud11	hu-ud11	id-ud11	it-ud11	ja	la	la-it	nl	pl	pt	ro	ru	sk	sl	sv-ud11	ta	te	tr	
Abbr=Yes	501				21743	32								5				906	504												507						8581	20					
AdjType=Pdt										203																																	
AdpType=Circ							248																									75											
AdpType=Comprep					286																																	34					
AdpType=Post			218				196							417		5797		2386						61530					28067			3								288	209	1329	
AdpType=Prep	41879			63338	134515	10687	72296					70223		145		21586		326				13411								2824	24647	22600	8588	32397	6211	56892	155369	5232					
AdpType=Preppron				13522								9770																									777						
AdpType=Voc					11142																																9165						
AdvType=Deg																								270					645												18		
AdvType=Ex										405																						961											
AdvType=Tim				3288								2733																	9786														
Animacy=Anim		49			112134										627	10565									286								9429			47908	209860	80		420			
Animacy=Inan					200797										6285	60677									1951								11275			156867	221843	701					
Animacy=Nhum																																	609										
Aspect=Imp	10050	10687			53434		2								1084	9365						7961		2672						1151	1359	18960	8860			43142	181100						
Aspect=Imp,Perf																																					5953						
Aspect=Perf	11480	7530			38503		15471			9325					3036	9220						3509		18916						3724	6176		5945			31053	107478						
Aspect=Pro															843																												
Aspect=Prog										7249					2789																											1401	
Case=Abe														3				138	230																								
Case=Abl														55	320			898	850							73				5462	20049											1382	
Case=Abs															9302											35																	
Case=Acc	28843	3660	590	877	180713	2301	82699		15624		3171	1045						132	156			46533	2104	82034	11651	1249			988	8394	26284		9549	1894		46633	218215	3503	726	340	159	2702	
Case=Acc,Dat																								919								749		4									
Case=Acc,Erg																								1507																			
Case=Acc,Gen																								2294																			
Case=Acc,Ine																								386																			
Case=Acc,Ins																								453																			
Case=Acc,Nom																																		71									
Case=Add														179																													
Case=Ade														123				3686	3248							47																	
Case=All														204	395			2145	1883							102																	
Case=Ben															70																												
Case=Cau															54											39																	
Case=Com														144	322			46	95																					13		44	
Case=Dat		672		551	40856		102483		36			966			573							22050			1208	203				1507	3453	117	1010	227		14610	49522	539		262		3173	
Case=Del																										110																	
Case=Dis																										4																	
Case=Ela														276				4703	3527							95																	
Case=Erg															2168																												
Case=Ess														11	33			2197	1489							233																	
Case=Gen	96902				225851	1111	45309		8622					1606	1351			22334	13867			21186	4905		15287	217			7333	2691	16321	308	13865			87619	204631	2699	1157	177		2500	
Case=Ill														174				5555	4232							117																	
Case=Ine														134	2609			6118	4126							623										696							
Case=Ins					69473										501			452	411						2737	314							3581			21842	88864	1407		24		853	
Case=Lat															8				3475																								
Case=Loc					134749										1983		168								8059	1				55	3709		7525			26875	144503	2299		487		2307	
Case=Nom	18257	3011	2324	78	203394	2836	124984		8830		11774	155		1542				30523	29739			45394		69361	14228	8254			3271	8157	43510	11345	10071	530		78823	238467	3957	34786	2929	1936	14148	
Case=Par														712	418			14034	12714																	56							
Case=Sub																										335																	
Case=Sup																										391																	
Case=Tem																	942						145			4																	
Case=Ter														24												29																	
Case=Tra														62				1314	1172							33																	
Case=Voc		26			193				61							86	4					3086			5					286	13		93			11	1007						
ConjType=Comp							2106																																				
ConjType=Oper					170																																						
Definite=Com	44																																										
Definite=Def	59133	14904		48973		6519			9017		11017	51859			15283										55	3939		35146				21135		26383	123				15414				
Definite=Ind	26821	33792		16		17427			448		5346	9595			3356										388	1784		4443				4493		3103	735				22029				
Definite=Red	37455																						10855																				
Degree=Abs						5																						107															
Degree=Comp					7868	581	2532		251	2319				19		598						580								164	2024	1363	1113	1216		1690	6094	178					
Degree=Pos		9999			179374	7130	55996			44641	15294			437		13726		17394							12185	2554					109088	19548	9335				218026	4484	7021				
Degree=Sup					4135	303	1145		39	1106	647				175	201	379	472	553			309			489	49				107	711	518	181	160		295	3815	31	542				
Echo=Ech																																									1		
Echo=Rdp			1																					206																	1	11	
Foreign=Foreign	5095				9317	106	1010			140								249						143								17					9957						
Foreign=Fscript																		27																									
Gender=Com						19950																										11							22706	1218			
Gender=Fem	28895	16509		82820	258408		132074		17374		578	84144			40							33514	22611	45208	17709			49145		8763	49567		13598	44978		85273	306648	4965			63		
Gender=Fem,Masc					6954																		3182																		29		
Gender=Fem,Neut					14837																																				553		
Gender=Masc	37161	21152		104738	338940		124899		7077		1741	113640			21							75353	41754	109135	22372			65552		11815	23216		21313	63577	56	122961	431703	7191	48	2	201		
Gender=Masc,Neut					13457																																						
Gender=Neut		9282			120659	8949	78534		8722		2496											27027		3	6626					5971	35982	4505	7517			58260	165837	2662	10856	4072	108		
Gender[dat]=Masc															4																												
Gender[erg]=Fem															7																												
Gender[erg]=Masc															5																												
Gender[psor]=Fem					1506																																	22					
Gender[psor]=Masc					2664																																	108					
Gender[psor]=Masc,Neut					2909																																						
Gender[psor]=Neut																																						1					
