PATB source	NYUADUDT division	Number of sentences in NYUADUDT	PATB file name (Document name in NYUADUDT)	PAUDT division	Number of Sentences in PAUDT	Document ID in PAUDT
ATB1	Train	18	20000815_AFP_ARB.0042.txt	dev	19	AFP_ARB_20000815.0042
ATB1	Train	7	20000715_AFP_ARB.0082.txt	dev	8	AFP_ARB_20000715.0082
ATB1	Dev	4	20000715_AFP_ARB.0037.txt	dev	5	AFP_ARB_20000715.0037
ATB1	Dev	3	20000715_AFP_ARB.0032.txt	dev	4	AFP_ARB_20000715.0032
ATB1	Train	10	20000815_AFP_ARB.0133.txt	dev	11	AFP_ARB_20000815.0133
ATB1	Train	10	20000815_AFP_ARB.0022.txt	dev	11	AFP_ARB_20000815.0022
ATB1	Dev	6	20000715_AFP_ARB.0044.txt	dev	7	AFP_ARB_20000715.0044
ATB1	Dev	7	20000715_AFP_ARB.0011.txt	dev	8	AFP_ARB_20000715.0011
ATB1	Train	37	20000815_AFP_ARB.0072.txt	dev	38	AFP_ARB_20000815.0072
ATB1	Train	7	20000815_AFP_ARB.0154.txt	dev	8	AFP_ARB_20000815.0154
ATB1	Dev	7	20000715_AFP_ARB.0058.txt	dev	8	AFP_ARB_20000715.0058
ATB1	Dev	2	20000715_AFP_ARB.0020.txt	dev	3	AFP_ARB_20000715.0020
ATB1	Dev	5	20000715_AFP_ARB.0071.txt	dev	6	AFP_ARB_20000715.0071
ATB1	Dev	7	20000715_AFP_ARB.0025.txt	dev	8	AFP_ARB_20000715.0025
ATB1	Train	6	20000815_AFP_ARB.0007.txt	dev	7	AFP_ARB_20000815.0007
ATB1	Train	4	20000815_AFP_ARB.0091.txt	test	5	AFP_ARB_20000815.0091
ATB1	Train	4	20000815_AFP_ARB.0134.txt	test	5	AFP_ARB_20000815.0134
ATB1	Dev	5	20000715_AFP_ARB.0035.txt	test	6	AFP_ARB_20000715.0035
ATB1	Train	13	20000815_AFP_ARB.0040.txt	test	14	AFP_ARB_20000815.0040
ATB1	Train	9	20000815_AFP_ARB.0026.txt	test	10	AFP_ARB_20000815.0026
ATB1	Train	5	20000815_AFP_ARB.0099.txt	test	6	AFP_ARB_20000815.0099
ATB1	Train	4	20000815_AFP_ARB.0063.txt	test	5	AFP_ARB_20000815.0063
ATB1	Dev	13	20000715_AFP_ARB.0042.txt	test	14	AFP_ARB_20000715.0042
ATB1	Train	2	20000815_AFP_ARB.0060.txt	test	3	AFP_ARB_20000815.0060
ATB1	Train	2	20000815_AFP_ARB.0013.txt	test	3	AFP_ARB_20000815.0013
ATB1	Dev	4	20000715_AFP_ARB.0015.txt	test	6	AFP_ARB_20000715.0015
ATB1	Train	12	20000815_AFP_ARB.0110.txt	test	13	AFP_ARB_20000815.0110
ATB1	Train	6	20000815_AFP_ARB.0073.txt	test	7	AFP_ARB_20000815.0073
ATB1	Dev	6	20000715_AFP_ARB.0021.txt	test	9	AFP_ARB_20000715.0021
ATB1	Dev	13	20000715_AFP_ARB.0072.txt	test	14	AFP_ARB_20000715.0072
ATB1	Train	8	20000915_AFP_ARB.0008.txt	test	9	AFP_ARB_20000915.0008
ATB1	Train	5	20000815_AFP_ARB.0143.txt	test	6	AFP_ARB_20000815.0143
ATB1	Dev	2	20000715_AFP_ARB.0065.txt	test	3	AFP_ARB_20000715.0065
ATB1	Train	5	20000815_AFP_ARB.0080.txt	test	6	AFP_ARB_20000815.0080
ATB1	Train	4	20000815_AFP_ARB.0139.txt	train	5	AFP_ARB_20000815.0139
ATB1	Train	5	20000815_AFP_ARB.0138.txt	train	6	AFP_ARB_20000815.0138
ATB1	Train	5	20000815_AFP_ARB.0135.txt	train	6	AFP_ARB_20000815.0135
ATB1	Train	5	20000815_AFP_ARB.0136.txt	train	6	AFP_ARB_20000815.0136
ATB1	Train	3	20000815_AFP_ARB.0131.txt	train	4	AFP_ARB_20000815.0131
ATB1	Train	5	20000815_AFP_ARB.0130.txt	train	6	AFP_ARB_20000815.0130
ATB1	Train	8	20000815_AFP_ARB.0132.txt	train	9	AFP_ARB_20000815.0132
ATB1	Train	7	20000815_AFP_ARB.0129.txt	train	8	AFP_ARB_20000815.0129
ATB1	Train	2	20000815_AFP_ARB.0128.txt	train	3	AFP_ARB_20000815.0128
ATB1	Train	5	20000815_AFP_ARB.0127.txt	train	6	AFP_ARB_20000815.0127
ATB1	Train	7	20000815_AFP_ARB.0126.txt	train	8	AFP_ARB_20000815.0126
ATB1	Train	7	20000815_AFP_ARB.0125.txt	train	8	AFP_ARB_20000815.0125
ATB1	Train	6	20000815_AFP_ARB.0124.txt	train	7	AFP_ARB_20000815.0124
ATB1	Train	3	20000815_AFP_ARB.0123.txt	train	4	AFP_ARB_20000815.0123
ATB1	Train	5	20000815_AFP_ARB.0122.txt	train	6	AFP_ARB_20000815.0122
ATB1	Train	8	20000815_AFP_ARB.0121.txt	train	9	AFP_ARB_20000815.0121
ATB1	Train	8	20000815_AFP_ARB.0153.txt	train	9	AFP_ARB_20000815.0153
ATB1	Train	6	20000815_AFP_ARB.0152.txt	train	7	AFP_ARB_20000815.0152
ATB1	Train	3	20000815_AFP_ARB.0150.txt	train	4	AFP_ARB_20000815.0150
ATB1	Train	11	20000815_AFP_ARB.0151.txt	train	12	AFP_ARB_20000815.0151
ATB1	Train	7	20000815_AFP_ARB.0149.txt	train	8	AFP_ARB_20000815.0149
ATB1	Train	7	20000815_AFP_ARB.0144.txt	train	8	AFP_ARB_20000815.0144
ATB1	Train	2	20000815_AFP_ARB.0142.txt	train	3	AFP_ARB_20000815.0142
ATB1	Train	2	20000815_AFP_ARB.0141.txt	train	3	AFP_ARB_20000815.0141
ATB1	Train	6	20000815_AFP_ARB.0148.txt	train	7	AFP_ARB_20000815.0148
ATB1	Train	7	20000815_AFP_ARB.0145.txt	train	8	AFP_ARB_20000815.0145
ATB1	Train	7	20000815_AFP_ARB.0032.txt	train	8	AFP_ARB_20000815.0032
ATB1	Train	5	20000815_AFP_ARB.0031.txt	train	6	AFP_ARB_20000815.0031
ATB1	Train	14	20000815_AFP_ARB.0034.txt	train	15	AFP_ARB_20000815.0034
ATB1	Train	7	20000815_AFP_ARB.0033.txt	train	8	AFP_ARB_20000815.0033
ATB1	Train	8	20000815_AFP_ARB.0036.txt	train	9	AFP_ARB_20000815.0036
ATB1	Train	9	20000815_AFP_ARB.0038.txt	train	10	AFP_ARB_20000815.0038
ATB1	Train	4	20000815_AFP_ARB.0037.txt	train	5	AFP_ARB_20000815.0037
ATB1	Train	15	20000815_AFP_ARB.0039.txt	train	16	AFP_ARB_20000815.0039
ATB1	Train	14	20000815_AFP_ARB.0023.txt	train	15	AFP_ARB_20000815.0023
ATB1	Train	13	20000815_AFP_ARB.0020.txt	train	14	AFP_ARB_20000815.0020
ATB1	Train	9	20000815_AFP_ARB.0027.txt	train	10	AFP_ARB_20000815.0027
ATB1	Train	10	20000815_AFP_ARB.0029.txt	train	11	AFP_ARB_20000815.0029
ATB1	Train	3	20000815_AFP_ARB.0028.txt	train	4	AFP_ARB_20000815.0028
ATB1	Train	3	20000815_AFP_ARB.0030.txt	train	4	AFP_ARB_20000815.0030
ATB1	Train	6	20000815_AFP_ARB.0016.txt	train	7	AFP_ARB_20000815.0016
ATB1	Train	18	20000815_AFP_ARB.0010.txt	train	19	AFP_ARB_20000815.0010
ATB1	Train	10	20000815_AFP_ARB.0017.txt	train	11	AFP_ARB_20000815.0017
ATB1	Train	7	20000815_AFP_ARB.0019.txt	train	8	AFP_ARB_20000815.0019
ATB1	Train	8	20000815_AFP_ARB.0112.txt	train	9	AFP_ARB_20000815.0112
ATB1	Train	7	20000815_AFP_ARB.0113.txt	train	8	AFP_ARB_20000815.0113
ATB1	Train	5	20000815_AFP_ARB.0114.txt	train	6	AFP_ARB_20000815.0114
ATB1	Train	3	20000815_AFP_ARB.0115.txt	train	4	AFP_ARB_20000815.0115
ATB1	Train	11	20000815_AFP_ARB.0116.txt	train	12	AFP_ARB_20000815.0116
ATB1	Train	6	20000815_AFP_ARB.0117.txt	train	7	AFP_ARB_20000815.0117
ATB1	Train	6	20000815_AFP_ARB.0118.txt	train	7	AFP_ARB_20000815.0118
ATB1	Train	6	20000815_AFP_ARB.0119.txt	train	7	AFP_ARB_20000815.0119
ATB1	Train	7	20000815_AFP_ARB.0005.txt	train	8	AFP_ARB_20000815.0005
ATB1	Train	5	20000815_AFP_ARB.0004.txt	train	6	AFP_ARB_20000815.0004
ATB1	Train	8	20000815_AFP_ARB.0001.txt	train	9	AFP_ARB_20000815.0001
ATB1	Train	4	20000815_AFP_ARB.0008.txt	train	5	AFP_ARB_20000815.0008
ATB1	Train	3	20000815_AFP_ARB.0006.txt	train	4	AFP_ARB_20000815.0006
ATB1	Train	14	20000815_AFP_ARB.0100.txt	train	15	AFP_ARB_20000815.0100
ATB1	Train	6	20000815_AFP_ARB.0104.txt	train	7	AFP_ARB_20000815.0104
ATB1	Train	4	20000815_AFP_ARB.0101.txt	train	5	AFP_ARB_20000815.0101
ATB1	Train	5	20000815_AFP_ARB.0102.txt	train	6	AFP_ARB_20000815.0102
ATB1	Train	8	20000815_AFP_ARB.0107.txt	train	9	AFP_ARB_20000815.0107
ATB1	Train	4	20000815_AFP_ARB.0108.txt	train	5	AFP_ARB_20000815.0108
ATB1	Train	3	20000815_AFP_ARB.0105.txt	train	4	AFP_ARB_20000815.0105
ATB1	Train	5	20000815_AFP_ARB.0106.txt	train	6	AFP_ARB_20000815.0106
ATB1	Train	5	20000815_AFP_ARB.0109.txt	train	6	AFP_ARB_20000815.0109
ATB1	Train	4	20000815_AFP_ARB.0087.txt	train	5	AFP_ARB_20000815.0087
ATB1	Train	3	20000815_AFP_ARB.0089.txt	train	4	AFP_ARB_20000815.0089
ATB1	Train	15	20000815_AFP_ARB.0088.txt	train	16	AFP_ARB_20000815.0088
ATB1	Train	5	20000815_AFP_ARB.0090.txt	train	6	AFP_ARB_20000815.0090
ATB1	Train	7	20000815_AFP_ARB.0092.txt	train	8	AFP_ARB_20000815.0092
ATB1	Train	2	20000815_AFP_ARB.0093.txt	train	3	AFP_ARB_20000815.0093
ATB1	Train	12	20000815_AFP_ARB.0094.txt	train	13	AFP_ARB_20000815.0094
ATB1	Train	11	20000815_AFP_ARB.0096.txt	train	12	AFP_ARB_20000815.0096
ATB1	Dev	6	20000715_AFP_ARB.0004.txt	train	7	AFP_ARB_20000715.0004
ATB1	Dev	3	20000715_AFP_ARB.0003.txt	train	4	AFP_ARB_20000715.0003
ATB1	Dev	11	20000715_AFP_ARB.0002.txt	train	15	AFP_ARB_20000715.0002
ATB1	Dev	11	20000715_AFP_ARB.0001.txt	train	19	AFP_ARB_20000715.0001
ATB1	Train	10	20000815_AFP_ARB.0098.txt	train	11	AFP_ARB_20000815.0098
ATB1	Train	9	20000815_AFP_ARB.0097.txt	train	10	AFP_ARB_20000815.0097
ATB1	Dev	9	20000715_AFP_ARB.0009.txt	train	11	AFP_ARB_20000715.0009
ATB1	Dev	2	20000715_AFP_ARB.0008.txt	train	3	AFP_ARB_20000715.0008
ATB1	Dev	5	20000715_AFP_ARB.0006.txt	train	9	AFP_ARB_20000715.0006
ATB1	Dev	6	20000715_AFP_ARB.0005.txt	train	7	AFP_ARB_20000715.0005
ATB1	Dev	8	20000715_AFP_ARB.0010.txt	train	11	AFP_ARB_20000715.0010
ATB1	Dev	6	20000715_AFP_ARB.0013.txt	train	7	AFP_ARB_20000715.0013
ATB1	Dev	10	20000715_AFP_ARB.0012.txt	train	13	AFP_ARB_20000715.0012
ATB1	Dev	10	20000715_AFP_ARB.0014.txt	train	11	AFP_ARB_20000715.0014
ATB1	Dev	4	20000715_AFP_ARB.0017.txt	train	5	AFP_ARB_20000715.0017
ATB1	Dev	14	20000715_AFP_ARB.0016.txt	train	15	AFP_ARB_20000715.0016
ATB1	Dev	8	20000715_AFP_ARB.0019.txt	train	9	AFP_ARB_20000715.0019
ATB1	Dev	9	20000715_AFP_ARB.0022.txt	train	10	AFP_ARB_20000715.0022
ATB1	Dev	3	20000715_AFP_ARB.0026.txt	train	4	AFP_ARB_20000715.0026
ATB1	Dev	6	20000715_AFP_ARB.0023.txt	train	7	AFP_ARB_20000715.0023
ATB1	Dev	19	20000715_AFP_ARB.0029.txt	train	21	AFP_ARB_20000715.0029
ATB1	Dev	4	20000715_AFP_ARB.0027.txt	train	5	AFP_ARB_20000715.0027
ATB1	Train	6	20000815_AFP_ARB.0043.txt	train	7	AFP_ARB_20000815.0043
ATB1	Train	8	20000815_AFP_ARB.0044.txt	train	9	AFP_ARB_20000815.0044
ATB1	Train	16	20000815_AFP_ARB.0045.txt	train	17	AFP_ARB_20000815.0045
ATB1	Train	4	20000815_AFP_ARB.0047.txt	train	5	AFP_ARB_20000815.0047
ATB1	Train	4	20000815_AFP_ARB.0049.txt	train	5	AFP_ARB_20000815.0049
ATB1	Train	6	20000815_AFP_ARB.0050.txt	train	7	AFP_ARB_20000815.0050
ATB1	Train	5	20000815_AFP_ARB.0052.txt	train	6	AFP_ARB_20000815.0052
ATB1	Train	9	20000815_AFP_ARB.0051.txt	train	10	AFP_ARB_20000815.0051
ATB1	Train	8	20000815_AFP_ARB.0055.txt	train	9	AFP_ARB_20000815.0055
ATB1	Train	11	20000815_AFP_ARB.0056.txt	train	12	AFP_ARB_20000815.0056
ATB1	Train	8	20000815_AFP_ARB.0053.txt	train	9	AFP_ARB_20000815.0053
ATB1	Train	7	20000815_AFP_ARB.0054.txt	train	8	AFP_ARB_20000815.0054
ATB1	Train	5	20000815_AFP_ARB.0057.txt	train	6	AFP_ARB_20000815.0057
ATB1	Train	7	20000815_AFP_ARB.0058.txt	train	8	AFP_ARB_20000815.0058
ATB1	Train	10	20000815_AFP_ARB.0062.txt	train	11	AFP_ARB_20000815.0062
ATB1	Train	6	20000815_AFP_ARB.0061.txt	train	7	AFP_ARB_20000815.0061
ATB1	Train	9	20000815_AFP_ARB.0068.txt	train	10	AFP_ARB_20000815.0068
ATB1	Train	2	20000815_AFP_ARB.0069.txt	train	3	AFP_ARB_20000815.0069
ATB1	Train	8	20000815_AFP_ARB.0064.txt	train	9	AFP_ARB_20000815.0064
ATB1	Train	5	20000815_AFP_ARB.0065.txt	train	6	AFP_ARB_20000815.0065
ATB1	Train	1	20000815_AFP_ARB.0066.txt	train	2	AFP_ARB_20000815.0066
ATB1	Train	8	20000815_AFP_ARB.0071.txt	train	9	AFP_ARB_20000815.0071
ATB1	Train	5	20000815_AFP_ARB.0074.txt	train	6	AFP_ARB_20000815.0074
ATB1	Train	5	20000815_AFP_ARB.0079.txt	train	6	AFP_ARB_20000815.0079
ATB1	Train	10	20000815_AFP_ARB.0078.txt	train	11	AFP_ARB_20000815.0078
ATB1	Train	6	20000815_AFP_ARB.0076.txt	train	7	AFP_ARB_20000815.0076
ATB1	Train	4	20000815_AFP_ARB.0085.txt	train	5	AFP_ARB_20000815.0085
ATB1	Train	12	20000815_AFP_ARB.0084.txt	train	13	AFP_ARB_20000815.0084
ATB1	Train	4	20000815_AFP_ARB.0082.txt	train	5	AFP_ARB_20000815.0082
ATB1	Train	4	20000915_AFP_ARB.0018.txt	train	5	AFP_ARB_20000915.0018
ATB1	Train	5	20000715_AFP_ARB.0083.txt	train	6	AFP_ARB_20000715.0083
ATB1	Train	6	20000915_AFP_ARB.0013.txt	train	7	AFP_ARB_20000915.0013
ATB1	Train	5	20000715_AFP_ARB.0084.txt	train	6	AFP_ARB_20000715.0084
ATB1	Train	8	20000915_AFP_ARB.0011.txt	train	9	AFP_ARB_20000915.0011
ATB1	Train	5	20000915_AFP_ARB.0016.txt	train	6	AFP_ARB_20000915.0016
ATB1	Train	3	20000915_AFP_ARB.0017.txt	train	4	AFP_ARB_20000915.0017
ATB1	Train	12	20000715_AFP_ARB.0080.txt	train	13	AFP_ARB_20000715.0080
ATB1	Train	9	20000915_AFP_ARB.0015.txt	train	10	AFP_ARB_20000915.0015
ATB1	Train	11	20000715_AFP_ARB.0079.txt	train	12	AFP_ARB_20000715.0079
ATB1	Train	8	20000915_AFP_ARB.0020.txt	train	9	AFP_ARB_20000915.0020
ATB1	Train	5	20000715_AFP_ARB.0076.txt	train	6	AFP_ARB_20000715.0076
ATB1	Train	6	20000715_AFP_ARB.0075.txt	train	7	AFP_ARB_20000715.0075
ATB1	Train	5	20000715_AFP_ARB.0086.txt	train	6	AFP_ARB_20000715.0086
ATB1	Train	4	20000715_AFP_ARB.0085.txt	train	5	AFP_ARB_20000715.0085
ATB1	Train	6	20000715_AFP_ARB.0087.txt	train	7	AFP_ARB_20000715.0087
ATB1	Dev	9	20000715_AFP_ARB.0040.txt	train	11	AFP_ARB_20000715.0040
ATB1	Dev	8	20000715_AFP_ARB.0038.txt	train	9	AFP_ARB_20000715.0038
ATB1	Dev	5	20000715_AFP_ARB.0039.txt	train	7	AFP_ARB_20000715.0039
ATB1	Dev	11	20000715_AFP_ARB.0036.txt	train	12	AFP_ARB_20000715.0036
ATB1	Dev	4	20000715_AFP_ARB.0034.txt	train	8	AFP_ARB_20000715.0034
ATB1	Dev	6	20000715_AFP_ARB.0033.txt	train	8	AFP_ARB_20000715.0033
ATB1	Dev	14	20000715_AFP_ARB.0030.txt	train	22	AFP_ARB_20000715.0030
ATB1	Dev	5	20000715_AFP_ARB.0031.txt	train	6	AFP_ARB_20000715.0031
ATB1	Dev	8	20000715_AFP_ARB.0051.txt	train	9	AFP_ARB_20000715.0051
ATB1	Dev	7	20000715_AFP_ARB.0050.txt	train	9	AFP_ARB_20000715.0050
ATB1	Dev	12	20000715_AFP_ARB.0049.txt	train	14	AFP_ARB_20000715.0049
ATB1	Dev	6	20000715_AFP_ARB.0045.txt	train	7	AFP_ARB_20000715.0045
ATB1	Dev	7	20000715_AFP_ARB.0048.txt	train	8	AFP_ARB_20000715.0048
ATB1	Dev	2	20000715_AFP_ARB.0041.txt	train	3	AFP_ARB_20000715.0041
