Abbreviation	Abbreviation	_	Abbreviation	20	data/treex/000_orig/train/001#241:V-B
Adjective	Adjective-ordinal	Degree=positive|Gender=feminine|Number=dual|Case=nominative	Adjective-ordinal	1	data/treex/000_orig/train/003#59:Mali
Adjective	Adjective-ordinal	Degree=positive|Gender=feminine|Number=plural|Case=accusative	Adjective-ordinal	6	data/treex/000_orig/train/001#47:partijske
Adjective	Adjective-ordinal	Degree=positive|Gender=feminine|Number=plural|Case=dative	Adjective-ordinal	1	data/treex/000_orig/train/001#57:zunanjim
Adjective	Adjective-ordinal	Degree=positive|Gender=feminine|Number=plural|Case=genitive	Adjective-ordinal	5	data/treex/000_orig/train/001#140:srednjih
Adjective	Adjective-ordinal	Degree=positive|Gender=feminine|Number=plural|Case=instrumental	Adjective-ordinal	4	data/treex/000_orig/train/001#220:azijskimi
Adjective	Adjective-ordinal	Degree=positive|Gender=feminine|Number=plural|Case=locative	Adjective-ordinal	11	data/treex/000_orig/train/002#58:kovinskih
Adjective	Adjective-ordinal	Degree=positive|Gender=feminine|Number=plural|Case=nominative	Adjective-ordinal	16	data/treex/000_orig/train/001#150:amaterske
Adjective	Adjective-ordinal	Degree=positive|Gender=feminine|Number=singular|Case=accusative	Adjective-ordinal	29	data/treex/000_orig/train/001#4:notranjo
Adjective	Adjective-ordinal	Degree=positive|Gender=feminine|Number=singular|Case=dative	Adjective-ordinal	2	data/treex/000_orig/train/001#9:ekonomski
Adjective	Adjective-ordinal	Degree=positive|Gender=feminine|Number=singular|Case=genitive	Adjective-ordinal	24	data/treex/000_orig/train/001#15:kovinske
Adjective	Adjective-ordinal	Degree=positive|Gender=feminine|Number=singular|Case=instrumental	Adjective-ordinal	9	data/treex/000_orig/train/001#123:otroško
Adjective	Adjective-ordinal	Degree=positive|Gender=feminine|Number=singular|Case=locative	Adjective-ordinal	20	data/treex/000_orig/train/001#69:naslednji
Adjective	Adjective-ordinal	Degree=positive|Gender=feminine|Number=singular|Case=nominative	Adjective-ordinal	38	data/treex/000_orig/train/001#27:Policijska
Adjective	Adjective-ordinal	Degree=positive|Gender=masculine|Number=dual|Case=nominative	Adjective-ordinal	1	data/treex/000_orig/train/002#441:mala
Adjective	Adjective-ordinal	Degree=positive|Gender=masculine|Number=plural|Case=accusative	Adjective-ordinal	3	data/treex/000_orig/train/001#396:male
Adjective	Adjective-ordinal	Degree=positive|Gender=masculine|Number=plural|Case=genitive	Adjective-ordinal	13	data/treex/000_orig/train/001#148:skupinskih
Adjective	Adjective-ordinal	Degree=positive|Gender=masculine|Number=plural|Case=instrumental	Adjective-ordinal	6	data/treex/000_orig/train/001#190:aziatskimi
Adjective	Adjective-ordinal	Degree=positive|Gender=masculine|Number=plural|Case=locative	Adjective-ordinal	1	data/treex/000_orig/train/003#26:labirintskih
Adjective	Adjective-ordinal	Degree=positive|Gender=masculine|Number=plural|Case=nominative	Adjective-ordinal	7	data/treex/000_orig/train/002#339:postranski
Adjective	Adjective-ordinal	Degree=positive|Gender=masculine|Number=singular|Case=accusative|Animate=no	Adjective-ordinal	15	data/treex/000_orig/train/001#61:jutrišnji
Adjective	Adjective-ordinal	Degree=positive|Gender=masculine|Number=singular|Case=accusative|Animate=yes	Adjective-ordinal	2	data/treex/000_orig/train/002#440:pravega
Adjective	Adjective-ordinal	Degree=positive|Gender=masculine|Number=singular|Case=genitive	Adjective-ordinal	13	data/treex/000_orig/train/001#41:otroškega
Adjective	Adjective-ordinal	Degree=positive|Gender=masculine|Number=singular|Case=instrumental	Adjective-ordinal	9	data/treex/000_orig/train/001#10:desnim
Adjective	Adjective-ordinal	Degree=positive|Gender=masculine|Number=singular|Case=locative	Adjective-ordinal	12	data/treex/000_orig/train/001#76:sedanjem
Adjective	Adjective-ordinal	Degree=positive|Gender=masculine|Number=singular|Case=nominative	Adjective-ordinal	34	data/treex/000_orig/train/001#1:aprilski
Adjective	Adjective-ordinal	Degree=positive|Gender=neuter|Number=plural|Case=accusative	Adjective-ordinal	1	data/treex/000_orig/train/001#324:amaterska
Adjective	Adjective-ordinal	Degree=positive|Gender=neuter|Number=plural|Case=genitive	Adjective-ordinal	6	data/treex/000_orig/train/001#130:srednjih
Adjective	Adjective-ordinal	Degree=positive|Gender=neuter|Number=plural|Case=instrumental	Adjective-ordinal	3	data/treex/000_orig/train/001#331:oslovskimi
Adjective	Adjective-ordinal	Degree=positive|Gender=neuter|Number=plural|Case=nominative	Adjective-ordinal	1	data/treex/000_orig/train/003#127:partijska
Adjective	Adjective-ordinal	Degree=positive|Gender=neuter|Number=singular|Case=accusative	Adjective-ordinal	2	data/treex/000_orig/train/003#235:notranje
Adjective	Adjective-ordinal	Degree=positive|Gender=neuter|Number=singular|Case=dative	Adjective-ordinal	2	data/treex/000_orig/train/002#294:gosjemu
Adjective	Adjective-ordinal	Degree=positive|Gender=neuter|Number=singular|Case=genitive	Adjective-ordinal	8	data/treex/000_orig/train/001#187:ovčjega
Adjective	Adjective-ordinal	Degree=positive|Gender=neuter|Number=singular|Case=instrumental	Adjective-ordinal	5	data/treex/000_orig/train/001#91:pravim
Adjective	Adjective-ordinal	Degree=positive|Gender=neuter|Number=singular|Case=locative	Adjective-ordinal	5	data/treex/000_orig/train/001#189:vsakdanjem
Adjective	Adjective-ordinal	Degree=positive|Gender=neuter|Number=singular|Case=nominative	Adjective-ordinal	10	data/treex/000_orig/train/001#39:velikansko
Adjective	Adjective-possessive	Degree=positive|Gender=feminine|Number=dual|Case=genitive	Adjective-possessive	1	data/treex/000_orig/train/001#415:O'Brienovih
Adjective	Adjective-possessive	Degree=positive|Gender=feminine|Number=plural|Case=genitive	Adjective-possessive	3	data/treex/000_orig/train/002#178:Časnikovih
Adjective	Adjective-possessive	Degree=positive|Gender=feminine|Number=plural|Case=instrumental	Adjective-possessive	1	data/treex/000_orig/train/003#316:nageljnovimi
Adjective	Adjective-possessive	Degree=positive|Gender=feminine|Number=plural|Case=locative	Adjective-possessive	3	data/treex/000_orig/train/001#371:dečkovih
Adjective	Adjective-possessive	Degree=positive|Gender=feminine|Number=plural|Case=nominative	Adjective-possessive	1	data/treex/000_orig/test/001#43:starčeve
Adjective	Adjective-possessive	Degree=positive|Gender=feminine|Number=singular|Case=accusative	Adjective-possessive	1	data/treex/000_orig/train/002#205:Winstonovo
Adjective	Adjective-possessive	Degree=positive|Gender=feminine|Number=singular|Case=genitive	Adjective-possessive	7	data/treex/000_orig/train/001#80:smetanove
Adjective	Adjective-possessive	Degree=positive|Gender=feminine|Number=singular|Case=locative	Adjective-possessive	1	data/treex/000_orig/test/001#313:Winstonovi
Adjective	Adjective-possessive	Degree=positive|Gender=feminine|Number=singular|Case=nominative	Adjective-possessive	6	data/treex/000_orig/train/001#164:O'Brienova
Adjective	Adjective-possessive	Degree=positive|Gender=masculine|Number=plural|Case=accusative	Adjective-possessive	1	data/treex/000_orig/train/001#24:Winstonove
Adjective	Adjective-possessive	Degree=positive|Gender=masculine|Number=plural|Case=genitive	Adjective-possessive	1	data/treex/000_orig/train/001#370:tigrovih
Adjective	Adjective-possessive	Degree=positive|Gender=masculine|Number=plural|Case=locative	Adjective-possessive	1	data/treex/000_orig/train/001#492:očetovih
Adjective	Adjective-possessive	Degree=positive|Gender=masculine|Number=singular|Case=accusative|Animate=no	Adjective-possessive	7	data/treex/000_orig/train/001#212:Goldsteinov
Adjective	Adjective-possessive	Degree=positive|Gender=masculine|Number=singular|Case=accusative|Animate=yes	Adjective-possessive	1	data/treex/000_orig/train/001#412:O'Brienovega
Adjective	Adjective-possessive	Degree=positive|Gender=masculine|Number=singular|Case=dative	Adjective-possessive	1	data/treex/000_orig/train/001#191:Goldsteinovemu
