1	- masing	PUNCT ADJ	punct
1	1961constitution text	NOUN NOUN	conj
1	1970 s	NUM ADP	nummod
3	abu abu	ADJ ADJ	amod
1	abu abu	ADJ ADJ	conj
2	agama agama	NOUN NOUN	nmod
1	agar agar	NOUN NOUN	compound
1	ajaran ajaran	NOUN NOUN	nmod
1	akan tetapi	ADV CONJ	mark
1	akan tetapi	SCONJ ADP	mark
1	akan tetapi	SCONJ CONJ	mark
1	akar akar	NOUN NOUN	nmod
2	akhir akhir	NOUN NOUN	nmod
1	akhir akhir	PROPN NOUN	nmod
1	aktor aktor	NOUN NOUN	acl
1	aktor aktor	NOUN NOUN	dobj
1	akun akun	NOUN NOUN	dobj
1	alat alat	NOUN NOUN	dobj
1	alat alat	PROPN NOUN	nsubj
1	album album	NOUN NOUN	conj
1	album album	NOUN NOUN	dobj
1	album album	NOUN NOUN	nmod
1	album album	NOUN NOUN	nsubjpass
1	alun alun	NOUN NOUN	compound
1	alun alun	PROPN PROPN	nmod
6	anak anak	NOUN NOUN	compound
4	anak anak	NOUN NOUN	conj
1	anak anak	NOUN NOUN	dobj
6	anak anak	NOUN NOUN	nmod
1	anak anak	NOUN NOUN	nsubj
1	anak anak	PROPN NOUN	nsubj
1	anak anaknya	NOUN NOUN	dobj
1	ancang ancang	NOUN NOUN	dobj
1	angan angan	NOUN NOUN	conj
1	anggota anggota	NOUN NOUN	dobj
1	angka angka	NOUN NOUN	conj
1	antara lain	ADP ADJ	root
1	antara lain	ADP ADP	dep
1	antara lain	SCONJ CONJ	mark
1	anti gerilya	NOUN NOUN	conj
1	anting anting	NOUN NOUN	conj
1	apa apa	NOUN NOUN	compound
1	arah arah	NOUN NOUN	compound
1	arak arakan	NOUN NOUN	compound
1	arena arena	NOUN NOUN	nmod
1	argumen argumen	PROPN NOUN	nsubj
1	argument argument	NOUN NOUN	nsubj
1	arsip arsip	NOUN NOUN	compound
1	asal mula	NOUN NOUN	conj
1	asal usul	NOUN NOUN	compound
1	asal usul	NOUN NOUN	dobj
1	asal usul	NOUN NOUN	mwe
1	asal usul	NOUN NOUN	nmod
1	asal usul	NOUN VERB	nmod
1	asal usulnya	NOUN NOUN	nsubjpass
1	asih asah	NOUN NOUN	mwe
1	aspek aspek	NOUN NOUN	nmod
1	assistent resident	NOUN NOUN	appos
1	assistent resident	NOUN NOUN	conj
1	aturan aturan	NOUN NOUN	dobj
1	aturan aturan	NOUN NOUN	nsubj
1	aturan aturan	NOUN NOUN	nsubjpass
1	ayat ayat	NOUN NOUN	compound
1	ayat ayat	PROPN PROPN	nmod
1	ayat ayat	PROPN PROPN	nsubjpass
1	background color	NOUN NOUN	appos
1	bagaimana mungkin	ADV ADV	advmod
1	bagaimana pula	ADJ ADJ	amod
1	bagian bagian	NOUN NOUN	nmod
1	bahan bahan	NOUN NOUN	conj
1	bahan bahan	NOUN NOUN	nmod
1	bahasa bahasa	NOUN NOUN	compound
2	bahasa bahasa	NOUN NOUN	conj
1	bahasa bahasa	NOUN NOUN	nmod
1	balai balai	NOUN NOUN	root
1	baling baling	NOUN NOUN	advmod
1	baling baling	NOUN NOUN	nsubj
1	band band	NOUN NOUN	nmod
1	bandara bandara	NOUN NOUN	nmod
1	bangsa bangsa	PROPN PROPN	name
1	bangunan bangunan	NOUN NOUN	dobj
1	barang barang	NOUN NOUN	conj
1	barang barang	NOUN NOUN	dobj
2	barang barang	NOUN NOUN	nmod
1	baru baru	ADJ ADJ	amod
1	baru baru	ADV ADV	advmod
1	batas batas	NOUN NOUN	compound
1	batas batas	NOUN NOUN	dobj
1	batas batas	NOUN NOUN	nsubj
1	batu batu	NOUN NOUN	conj
1	batu batu	NOUN NOUN	dobj
1	batu batu	NOUN NOUN	nmod
1	bayang bayang	NOUN NOUN	nmod
1	bayar bayar	NOUN NOUN	nmod
1	begitu juga	CONJ ADV	cc
1	bekas bekas	NOUN NOUN	dobj
2	belajar mengajar	VERB VERB	acl
1	benar benar	ADJ ADJ	amod
2	benar benar	ADV ADV	advmod
1	benar benar	ADV NOUN	advmod
1	benda benda	NOUN NOUN	conj
1	benda benda	NOUN NOUN	nsubj
1	benda benda	PROPN NOUN	nsubjpass
1	bentara bentara	NOUN NOUN	nsubj
1	bentuk bentuk	NOUN NOUN	conj
1	berbatu batu	ADJ ADJ	amod
1	berbeda beda	ADJ ADJ	acl
1	berbeda beda	ADJ ADJ	amod
1	berbeda beda	VERB ADJ	conj
1	berbeda beda	VERB VERB	acl
1	berbelok belok	VERB VERB	acl
1	berbulan bulan	ADJ ADJ	amod
1	berbulan bulan	ADJ NOUN	xcomp
1	bercakap cakap	VERB VERB	ccomp
1	berganti silih	VERB VERB	xcomp
1	bergunung gunung	VERB VERB	acl
1	berhadap hadapan	ADJ ADJ	amod
1	berhasil akan	VERB CONJ	ccomp
1	beribu ribu	ADV ADV	advmod
1	berita berita	NOUN NOUN	nmod
1	berjalan jalan	VERB VERB	root
1	berjenis jenis	VERB VERB	csubjpass
1	berkali kali	ADV ADV	advmod
1	bermacam macam	NOUN NOUN	dobj
1	bermacam macam	VERB VERB	acl
1	berperan serta	VERB ADP	advcl
1	berpikul pikul	NOUN NOUN	advmod
1	berpindah pindah	VERB VERB	acl
1	berpura pura	VERB NOUN	root
1	berpura pura	VERB VERB	root
3	bersama sama	ADJ ADJ	amod
5	bersama sama	ADV ADV	advmod
1	bersama sama	VERB VERB	advmod
1	bersandarkan ketika	VERB ADV	parataxis
1	bersangkut paut	VERB VERB	acl
1	bersikeras akan	VERB CONJ	root
1	bertahun tahun	NOUN NOUN	nmod
1	bertahun tahun	VERB VERB	xcomp
1	bertanggung jawab	VERB NOUN	conj
1	bertanggung jawab	VERB NOUN	root
1	bertanggung jawab	VERB VERB	acl
1	bertempat tinggal	VERB VERB	acl
1	berturut turut	ADV ADV	acl
5	berturut turut	ADV ADV	advmod
1	berturut turut	ADV ADV	xcomp
1	berubah akan	VERB CONJ	advcl
1	berubah ubah	VERB VERB	acl
1	berubah ubah	VERB VERB	conj
2	berulang ulang	ADV ADV	advmod
1	besar besaran	ADJ ADJ	acl
2	besar besaran	ADJ ADJ	amod
2	betul betul	ADJ ADJ	amod
1	biara biara	NOUN NOUN	compound
1	biara biara	NOUN NOUN	conj
1	biara biara	NOUN NOUN	nmod
1	biasa luar	ADJ ADJ	amod
1	biasa luar	ADJ ADJ	conj
1	biji biji	NOUN NOUN	dobj
1	biji biji	PROPN NOUN	nsubj
1	bintang bintang	NOUN NOUN	compound
2	bintang bintang	NOUN NOUN	nmod
1	bit bit	NOUN NOUN	nsubjpass
1	bolak balik	ADJ ADJ	amod
1	border 1px	NOUN NOUN	parataxis
1	buah buahan	NOUN NOUN	compound
1	buah buahan	NOUN NOUN	conj
1	buah buahan	NOUN NOUN	nsubj
1	budak budak	NOUN NOUN	nsubj
1	budaya budaya	NOUN NOUN	dobj
1	bukit bukit	NOUN NOUN	dobj
1	bukit bukit	PROPN NOUN	nsubjpass
1	buku buku	NOUN NOUN	appos
1	buku buku	NOUN NOUN	compound
1	buku bukunya	NOUN NOUN	nsubj
1	bulan bulan	NOUN NOUN	nmod
1	bulan bulanan	NOUN NOUN	dobj
1	butik butik	NOUN NOUN	conj
1	butir butir	NOUN NOUN	nmod
3	cara cara	NOUN NOUN	dobj
1	catat di	VERB VERB	root
1	catatan baik	NOUN CONJ	nmod
1	ceng ceng	NOUN NOUN	conj
3	cerita cerita	NOUN NOUN	nmod
1	cerita cerita	NOUN NOUN	nsubj
1	cikal bakal	NOUN ADJ	conj
1	cikal bakal	NOUN NOUN	appos
1	ciri ciri	NOUN NOUN	nsubjpass
1	cita cita	NOUN NOUN	parataxis
1	cita citanya	NOUN NOUN	dobj
1	cita citanya	NOUN NOUN	nsubjpass
1	close up	NOUN NOUN	dobj
2	daerah daerah	NOUN NOUN	conj
2	daerah daerah	NOUN NOUN	nmod
1	daerah daerah	NOUN NOUN	nsubj
1	daerah mulai	NOUN ADV	acl
3	dahulu terlebih	ADV ADV	advmod
1	dampingi di	VERB VERB	advcl
1	dan juga	CONJ ADV	cc
1	dan juga	CONJ CONJ	cc
1	dan lain	CONJ ADJ	cc
1	dari itu	CONJ CONJ	mwe
1	datum datum	NOUN NOUN	dobj
1	daun daun	NOUN NOUN	nsubj
1	deklarasi deklarasi	PROPN NOUN	nsubj
1	demikian dengan	ADV CONJ	advmod
2	demikian dengan	SCONJ CONJ	mark
1	denganwarna warnanya	NOUN NOUN	compound
2	desa desa	NOUN NOUN	nmod
1	desa salah	NOUN DET	acl
1	dewa dewi	NOUN NOUN	appos
1	di apit	VERB VERB	acl
2	di mana	SCONJ CONJ	mark
1	di mana	SCONJ NOUN	mark
1	di tugaskan	VERB VERB	root
1	dialek mulai	NOUN ADP	nmod
1	diambil alih	VERB VERB	acl
2	diambil alih	VERB VERB	advcl
1	dibayang bayangi	VERB VERB	parataxis
1	dibayang bayangi	VERB VERB	root
1	dicita citakan	VERB VERB	acl
1	digembar gemborkan	VERB VERB	conj
1	diiris iris	VERB VERB	conj
1	dijemput kunjung	VERB ADV	acl
1	dikejar kejar	VERB NOUN	xcomp
1	dikenal itu	VERB DET	xcomp
1	dilatar belakangi	VERB VERB	root
1	dimulai pukul	VERB NOUN	acl
1	diplomat diplomat	NOUN NOUN	nmod
1	dirata ratakan	VERB VERB	advcl
1	diri mereka	NOUN PRON	dobj
1	disangka sangka	VERB VERB	acl
1	disebut sebut	VERB VERB	conj
2	disebut sebut	VERB VERB	root
1	diskusi diskusi	NOUN NOUN	nmod
1	ditempat tempat	NOUN NOUN	appos
1	dititik beratkan	VERB VERB	acl
1	diubah ubah	VERB VERB	acl
1	doktrin doktrin	NOUN NOUN	nsubjpass
1	dokumen dokumen	NOUN NOUN	nsubjpass
1	dokumen dokumen	PROPN NOUN	nsubj
1	dulok dulok	NOUN NOUN	conj
1	efek efek	NOUN NOUN	dobj
1	efek efek	NOUN NOUN	nsubjpass
1	ekspor impor	NOUN NOUN	compound
1	elemen elemen	NOUN NOUN	parataxis
1	fakta fakta	NOUN NOUN	nsubj
1	faktor faktor	NOUN NOUN	nsubj
1	fasilitas fasilitas	NOUN NOUN	dobj
1	festival festival	NOUN NOUN	nmod
1	film film	NOUN NOUN	nsubj
1	film film	NOUN NOUN	root
1	fitur fitur	NOUN NOUN	nsubjpass
1	foto foto	NOUN NOUN	nmod
1	foto kopian-ku	NOUN NOUN	compound
1	gadis gadis	NOUN NOUN	nmod
1	gadis gadis	NOUN NOUN	nsubj
1	gagasan gagasan	NOUN NOUN	nsubjpass
1	gagasan gagasannya	NOUN NOUN	conj
1	gambaran gambaran	NOUN NOUN	nsubj
1	gara gara	NOUN NOUN	compound
1	gedung gedung	NOUN NOUN	conj
1	gedung gedung	NOUN NOUN	dobj
1	gedung gedung	NOUN NOUN	nmod
1	gedung gedung	PROPN NOUN	nsubj
1	gelang gelang	PROPN PROPN	name
1	gerak gerik	NOUN NOUN	compound
1	gerak gerik	NOUN NOUN	conj
1	gerbong gerbong	NOUN NOUN	dobj
2	gereja gereja	NOUN NOUN	nmod
1	gol gol	NOUN NOUN	compound
