vyhlaska.iso-007-p72s5	document_01_007-sentence1
vyhlaska.iso-007-p72s6	document_01_007-sentence2
vyhlaska.iso-007-p72s8	document_01_007-sentence3
vyhlaska.iso-007-p72s9	document_01_007-sentence4
vyhlaska.iso-007-p72s10	document_01_007-sentence5
vyhlaska.iso-007-p72s11	document_01_007-sentence6
vyhlaska.iso-007-p72s12	document_01_007-sentence7
vyhlaska.iso-007-p72s13	document_01_007-sentence8
vyhlaska.iso-007-p72s14	document_01_007-sentence9
vyhlaska.iso-007-p72s15	document_01_007-sentence10
vyhlaska.iso-007-p72s16	document_01_007-sentence11
vyhlaska.iso-007-p72s17	document_01_007-sentence12
vyhlaska.iso-007-p72s18	document_01_007-sentence13
vyhlaska.iso-007-p72s19	document_01_007-sentence14
vyhlaska.iso-007-p72s20	document_01_007-sentence15
vyhlaska.iso-007-p72s21	document_01_007-sentence16
vyhlaska.iso-007-p72s22	document_01_007-sentence17
vyhlaska.iso-007-p72s23	document_01_007-sentence18
vyhlaska.iso-007-p72s24	document_01_007-sentence19
vyhlaska.iso-007-p72s25	document_01_007-sentence20
vyhlaska.iso-007-p73s1	document_01_007-sentence21
vyhlaska.iso-007-p73s2	document_01_007-sentence22
vyhlaska.iso-007-p73s3	document_01_007-sentence23
vyhlaska.iso-007-p73s4	document_01_007-sentence24
vyhlaska.iso-007-p73s5	document_01_007-sentence25
vyhlaska.iso-007-p73s6	document_01_007-sentence26
vyhlaska.iso-007-p73s7	document_01_007-sentence27
vyhlaska.iso-007-p73s8	document_01_007-sentence28
vyhlaska.iso-007-p73s9	document_01_007-sentence29
vyhlaska.iso-007-p73s10	document_01_007-sentence30
vyhlaska.iso-007-p73s11	document_01_007-sentence31
vyhlaska.iso-007-p73s12	document_01_007-sentence32
vyhlaska.iso-007-p73s13	document_01_007-sentence33
vyhlaska.iso-007-p74s1	document_01_007-sentence34
vyhlaska.iso-007-p74s2	document_01_007-sentence35
vyhlaska.iso-007-p74s3	document_01_007-sentence36
vyhlaska.iso-007-p74s4	document_01_007-sentence37
vyhlaska.iso-007-p74s5	document_01_007-sentence38
vyhlaska.iso-007-p74s6	document_01_007-sentence39
vyhlaska.iso-007-p74s7	document_01_007-sentence40
vyhlaska.iso-007-p74s8	document_01_007-sentence41
vyhlaska.iso-007-p74s9	document_01_007-sentence42
vyhlaska.iso-007-p74s10	document_01_007-sentence43
vyhlaska.iso-007-p75s1	document_01_007-sentence44
vyhlaska.iso-007-p75s2	document_01_007-sentence45
vyhlaska.iso-007-p75s3	document_01_007-sentence46
vyhlaska.iso-007-p75s5	document_01_007-sentence47
vyhlaska.iso-007-p75s6	document_01_007-sentence48
vyhlaska.iso-007-p76s1	document_01_007-sentence49
vyhlaska.iso-007-p76s2	document_01_007-sentence50
vyhlaska.iso-007-p76s3	document_01_007-sentence51
vyhlaska.iso-007-p76s4	document_01_007-sentence52
vyhlaska.iso-007-p76s5	document_01_007-sentence53
vyhlaska.iso-007-p76s6	document_01_007-sentence54
vyhlaska.iso-007-p76s7	document_01_007-sentence55
vyhlaska.iso-007-p76s8	document_01_007-sentence56
vyhlaska.iso-007-p76s9	document_01_007-sentence57
vyhlaska.iso-007-p76s10	document_01_007-sentence58
vyhlaska.iso-007-p76s11	document_01_007-sentence59
vyhlaska.iso-007-p76s12	document_01_007-sentence60
vyhlaska.iso-007-p76s13	document_01_007-sentence61
vyhlaska.iso-007-p76s14	document_01_007-sentence62
vyhlaska.iso-007-p76s15	document_01_007-sentence63
vyhlaska.iso-007-p77s1	document_01_007-sentence64
vyhlaska.iso-007-p77s2	document_01_007-sentence65
vyhlaska.iso-007-p77s3	document_01_007-sentence66
vyhlaska.iso-007-p77s4	document_01_007-sentence67
vyhlaska.iso-007-p77s5	document_01_007-sentence68
vyhlaska.iso-007-p77s6	document_01_007-sentence69
vyhlaska.iso-007-p77s7	document_01_007-sentence70
vyhlaska.iso-007-p77s8	document_01_007-sentence71
vyhlaska.iso-007-p77s9	document_01_007-sentence72
vyhlaska.iso-007-p77s10	document_01_007-sentence73
vyhlaska.iso-007-p78s1	document_01_007-sentence74
vyhlaska.iso-007-p78s2	document_01_007-sentence75
vyhlaska.iso-007-p78s3	document_01_007-sentence76
vyhlaska.iso-007-p78s5	document_01_007-sentence77
vyhlaska.iso-007-p79s1	document_01_007-sentence78
vyhlaska.iso-007-p79s2	document_01_007-sentence79
vyhlaska.iso-007-p79s3	document_01_007-sentence80
vyhlaska.iso-007-p79s4	document_01_007-sentence81
vyhlaska.iso-008-p79s5	document_01_008-sentence1
vyhlaska.iso-008-p80s1	document_01_008-sentence2
vyhlaska.iso-008-p80s2	document_01_008-sentence3
vyhlaska.iso-008-p80s3	document_01_008-sentence4
vyhlaska.iso-008-p80s4	document_01_008-sentence5
vyhlaska.iso-008-p80s5	document_01_008-sentence6
vyhlaska.iso-008-p80s6	document_01_008-sentence7
vyhlaska.iso-008-p80s7	document_01_008-sentence8
vyhlaska.iso-008-p80s8	document_01_008-sentence9
vyhlaska.iso-008-p81s1	document_01_008-sentence10
vyhlaska.iso-008-p81s2	document_01_008-sentence11
vyhlaska.iso-008-p82s1	document_01_008-sentence12
vyhlaska.iso-008-p82s2	document_01_008-sentence13
vyhlaska.iso-008-p83s1	document_01_008-sentence14
vyhlaska.iso-008-p83s2	document_01_008-sentence15
vyhlaska.iso-008-p83s4	document_01_008-sentence16
vyhlaska.iso-008-p83s6	document_01_008-sentence17
vyhlaska.iso-008-p83s8	document_01_008-sentence18
vyhlaska.iso-008-p83s9	document_01_008-sentence19
vyhlaska.iso-008-p83s12	document_01_008-sentence20
vyhlaska.iso-008-p83s13	document_01_008-sentence21
vyhlaska.iso-008-p84s1	document_01_008-sentence22
vyhlaska.iso-008-p84s2	document_01_008-sentence23
vyhlaska.iso-008-p85s1	document_01_008-sentence24
vyhlaska.iso-008-p85s2	document_01_008-sentence25
vyhlaska.iso-008-p85s3	document_01_008-sentence26
vyhlaska.iso-008-p85s4	document_01_008-sentence27
vyhlaska.iso-008-p85s7	document_01_008-sentence28
vyhlaska.iso-008-p85s8	document_01_008-sentence29
vyhlaska.iso-008-p85s9	document_01_008-sentence30
vyhlaska.iso-008-p85s10	document_01_008-sentence31
vyhlaska.iso-008-p85s11	document_01_008-sentence32
vyhlaska.iso-008-p85s12	document_01_008-sentence33
vyhlaska.iso-008-p85s13	document_01_008-sentence34
vyhlaska.iso-008-p85s14	document_01_008-sentence35
vyhlaska.iso-008-p85s15	document_01_008-sentence36
vyhlaska.iso-008-p85s16	document_01_008-sentence37
vyhlaska.iso-008-p85s17	document_01_008-sentence38
vyhlaska.iso-008-p86s1	document_01_008-sentence39
vyhlaska.iso-008-p86s2	document_01_008-sentence40
vyhlaska.iso-008-p87s1	document_01_008-sentence41
vyhlaska.iso-008-p87s2	document_01_008-sentence42
vyhlaska.iso-008-p87s3	document_01_008-sentence43
vyhlaska.iso-008-p87s4	document_01_008-sentence44
vyhlaska.iso-008-p87s5	document_01_008-sentence45
vyhlaska.iso-008-p87s6	document_01_008-sentence46
vyhlaska.iso-008-p87s7	document_01_008-sentence47
vyhlaska.iso-008-p87s8	document_01_008-sentence48
vyhlaska.iso-008-p87s9	document_01_008-sentence49
vyhlaska.iso-008-p87s10	document_01_008-sentence50
vyhlaska.iso-008-p88s1	document_01_008-sentence51
vyhlaska.iso-008-p88s2	document_01_008-sentence52
vyhlaska.iso-008-p88s3	document_01_008-sentence53
vyhlaska.iso-008-p88s4	document_01_008-sentence54
vyhlaska.iso-008-p88s5	document_01_008-sentence55
vyhlaska.iso-008-p89s1	document_01_008-sentence56
vyhlaska.iso-008-p89s2	document_01_008-sentence57
vyhlaska.iso-008-p89s3	document_01_008-sentence58
vyhlaska.iso-008-p89s4	document_01_008-sentence59
vyhlaska.iso-008-p90s1	document_01_008-sentence60
vyhlaska.iso-008-p90s2	document_01_008-sentence61
vyhlaska.iso-008-p90s3	document_01_008-sentence62
vyhlaska.iso-009-p90s5	document_01_009-sentence1
vyhlaska.iso-009-p91s1	document_01_009-sentence2
vyhlaska.iso-009-p92s1	document_01_009-sentence3
vyhlaska.iso-009-p92s2	document_01_009-sentence4
vyhlaska.iso-009-p92s3	document_01_009-sentence5
vyhlaska.iso-009-p92s4	document_01_009-sentence6
vyhlaska.iso-009-p92s5	document_01_009-sentence7
vyhlaska.iso-009-p92s6	document_01_009-sentence8
vyhlaska.iso-009-p92s7	document_01_009-sentence9
vyhlaska.iso-009-p92s8	document_01_009-sentence10
vyhlaska.iso-009-p93s1	document_01_009-sentence11
vyhlaska.iso-009-p93s2	document_01_009-sentence12
vyhlaska.iso-009-p93s3	document_01_009-sentence13
vyhlaska.iso-009-p94s1	document_01_009-sentence14
vyhlaska.iso-009-p94s2	document_01_009-sentence15
vyhlaska.iso-009-p94s3	document_01_009-sentence16
vyhlaska.iso-009-p94s4	document_01_009-sentence17
vyhlaska.iso-009-p94s5	document_01_009-sentence18
vyhlaska.iso-009-p94s6	document_01_009-sentence19
vyhlaska.iso-009-p94s7	document_01_009-sentence20
vyhlaska.iso-009-p95s1	document_01_009-sentence21
vyhlaska.iso-009-p95s2	document_01_009-sentence22
vyhlaska.iso-009-p95s3	document_01_009-sentence23
vyhlaska.iso-009-p95s4	document_01_009-sentence24
vyhlaska.iso-009-p96s1	document_01_009-sentence25
vyhlaska.iso-009-p96s2	document_01_009-sentence26
vyhlaska.iso-009-p96s3	document_01_009-sentence27
vyhlaska.iso-009-p96s4	document_01_009-sentence28
vyhlaska.iso-009-p97s1	document_01_009-sentence29
vyhlaska.iso-009-p97s2	document_01_009-sentence30
vyhlaska.iso-009-p97s3	document_01_009-sentence31
vyhlaska.iso-009-p97s4	document_01_009-sentence32
vyhlaska.iso-009-p97s5	document_01_009-sentence33
vyhlaska.iso-009-p97s6	document_01_009-sentence34
vyhlaska.iso-009-p97s7	document_01_009-sentence35
vyhlaska.iso-009-p98s1	document_01_009-sentence36
vyhlaska.iso-009-p98s2	document_01_009-sentence37
vyhlaska.iso-009-p98s3	document_01_009-sentence38
vyhlaska.iso-009-p98s4	document_01_009-sentence39
vyhlaska.iso-009-p98s5	document_01_009-sentence40
vyhlaska.iso-009-p99s1	document_01_009-sentence41
vyhlaska.iso-009-p99s2	document_01_009-sentence42
vyhlaska.iso-009-p99s3	document_01_009-sentence43
vyhlaska.iso-009-p99s4	document_01_009-sentence44
zakon.iso-001-p1s1	document_02_001-sentence1
zakon.iso-001-p1s2	document_02_001-sentence2
zakon.iso-001-p2s1	document_02_001-sentence3
zakon.iso-001-p2s2	document_02_001-sentence4
zakon.iso-001-p2s3	document_02_001-sentence5
zakon.iso-001-p2s5	document_02_001-sentence6
zakon.iso-001-p2s6	document_02_001-sentence7
zakon.iso-001-p2s7	document_02_001-sentence8
zakon.iso-001-p2s8	document_02_001-sentence9
zakon.iso-001-p2s9	document_02_001-sentence10
zakon.iso-001-p3s1	document_02_001-sentence11
zakon.iso-001-p3s2	document_02_001-sentence12
zakon.iso-001-p3s3	document_02_001-sentence13
zakon.iso-001-p4s1	document_02_001-sentence14
zakon.iso-001-p4s2	document_02_001-sentence15
zakon.iso-001-p4s3	document_02_001-sentence16
